journal	ISSN	eISSN	publisher	language_1	language_2	language_3	language_4	language_5	language_6	language_7	language_8	language_9	language_10	language_11	language_12	category_1	category_2	category_3	category_4	category_5	category_6	Index
ABACUS-A_JOURNAL_OF_ACCOUNTING_FINANCE_AND_BUSINESS_STUDIES	0001-3072	1467-6281	WILEY	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Business,Finance"	NA	NA	NA	NA	NA	SSCI
ACADEMIA-REVISTA_LATINOAMERICANA_DE_ADMINISTRACION	1012-8255	2056-5127	EMERALD_GROUP_PUBLISHING_LTD	Spanish	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Business	Management	NA	NA	NA	NA	SSCI
ACADEMIC_PSYCHIATRY	1042-9670	1545-7230	SPRINGER	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Education&EducationalResearch	Psychiatry	NA	NA	NA	NA	SSCI
ACADEMY_OF_MANAGEMENT_ANNALS	1941-6520	1941-6067	ACAD_MANAGEMENT	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Business	Management	NA	NA	NA	NA	SSCI
ACADEMY_OF_MANAGEMENT_DISCOVERIES	NA	2168-1007	ACAD_MANAGEMENT	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Management	NA	NA	NA	NA	NA	SSCI
ACADEMY_OF_MANAGEMENT_JOURNAL	0001-4273	1948-0989	ACAD_MANAGEMENT	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Business	Management	NA	NA	NA	NA	SSCI
ACADEMY_OF_MANAGEMENT_LEARNING_&_EDUCATION	1537-260X	1944-9585	ACAD_MANAGEMENT	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Education&EducationalResearch	Management	NA	NA	NA	NA	SSCI
ACADEMY_OF_MANAGEMENT_PERSPECTIVES	1558-9080	1943-4529	ACAD_MANAGEMENT	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Business	Management	NA	NA	NA	NA	SSCI
ACADEMY_OF_MANAGEMENT_REVIEW	0363-7425	1930-3807	ACAD_MANAGEMENT	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Business	Management	NA	NA	NA	NA	SSCI
ACCIDENT_ANALYSIS_AND_PREVENTION	0001-4575	1879-2057	PERGAMON-ELSEVIER_SCIENCE_LTD	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ergonomics	"Public,Environmental&OccupationalHealth"	"SocialSciences,Interdisciplinary"	Transportation	NA	NA	SSCI
ACCOUNTING_AND_BUSINESS_RESEARCH	0001-4788	2159-4260	"ROUTLEDGE_JOURNALS,_TAYLOR_&_FRANCIS_LTD"	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Business,Finance"	NA	NA	NA	NA	NA	SSCI
ACCOUNTING_AND_FINANCE	0810-5391	1467-629X	WILEY	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Business,Finance"	NA	NA	NA	NA	NA	SSCI
ACCOUNTING_AUDITING_&_ACCOUNTABILITY_JOURNAL	0951-3574	1758-4205	EMERALD_GROUP_PUBLISHING_LTD	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Business,Finance"	NA	NA	NA	NA	NA	SSCI
ACCOUNTING_FORUM	0155-9982	1467-6303	TAYLOR_&_FRANCIS_LTD	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Business,Finance"	NA	NA	NA	NA	NA	SSCI
ACCOUNTING_HORIZONS	0888-7993	1558-7975	AMER_ACCOUNTING_ASSOC	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Business,Finance"	NA	NA	NA	NA	NA	SSCI
ACCOUNTING_ORGANIZATIONS_AND_SOCIETY	0361-3682	1873-6289	PERGAMON-ELSEVIER_SCIENCE_LTD	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Business,Finance"	NA	NA	NA	NA	NA	SSCI
ACCOUNTING_REVIEW	0001-4826	1558-7967	AMER_ACCOUNTING_ASSOC	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Business,Finance"	NA	NA	NA	NA	NA	SSCI
ACROSS_LANGUAGES_AND_CULTURES	1585-1923	1588-2519	AKADEMIAI_KIADO_ZRT	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Linguistics	NA	NA	NA	NA	NA	SSCI
ACTA_BIOETHICA	0717-5906	1726-569X	"UNIV_CHILE,_CENTRO_INTERDISCIPLINARIO_ESTUDIOS_BIOETICA"	English	Portuguese	Spanish	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ethics	"SocialSciences,Biomedical"	NA	NA	NA	NA	SSCI
ACTA_HISTRIAE	1318-0185	2591-1767	HISTORICAL_SOC_SOUTHERN_PRIMORSKA_KOPER-HSSP	Slovenian	Croatian	English	Italian	NA	NA	NA	NA	NA	NA	NA	NA	History	NA	NA	NA	NA	NA	SSCI
ACTA_LINGUISTICA_ACADEMICA	2559-8201	2560-1016	AKADEMIAI_KIADO_ZRT	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Linguistics	NA	NA	NA	NA	NA	SSCI
ACTA_OECONOMICA	0001-6373	1588-2659	AKADEMIAI_KIADO_ZRT	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Economics	NA	NA	NA	NA	NA	SSCI
ACTA_PAULISTA_DE_ENFERMAGEM	0103-2100	1982-0194	"UNIV_FED_SAO_PAULO,_DEPT_ENFERMAGEN"	Portuguese	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Nursing	NA	NA	NA	NA	NA	SSCI
ACTA_POLITICA	0001-6810	1741-1416	PALGRAVE_MACMILLAN_LTD	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PoliticalScience	NA	NA	NA	NA	NA	SSCI
ACTA_PSYCHIATRICA_SCANDINAVICA	0001-690X	1600-0447	WILEY	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Psychiatry	NA	NA	NA	NA	NA	SSCI
ACTA_PSYCHOLOGICA	0001-6918	1873-6297	ELSEVIER	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Psychology,Experimental"	NA	NA	NA	NA	NA	SSCI
ACTA_SOCIOLOGICA	0001-6993	1502-3869	SAGE_PUBLICATIONS_LTD	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sociology	NA	NA	NA	NA	NA	SSCI
ACTES_DE_LA_RECHERCHE_EN_SCIENCES_SOCIALES	0335-5322	1955-2564	EDITIONS_SEUIL	French	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"SocialSciences,Interdisciplinary"	NA	NA	NA	NA	NA	SSCI
ACTION_RESEARCH	1476-7503	1741-2617	SAGE_PUBLICATIONS_LTD	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Management	"SocialSciences,Interdisciplinary"	NA	NA	NA	NA	SSCI
ACTIVE_LEARNING_IN_HIGHER_EDUCATION	1469-7874	1741-2625	SAGE_PUBLICATIONS_INC	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Education&EducationalResearch	NA	NA	NA	NA	NA	SSCI
ADAPTIVE_BEHAVIOR	1059-7123	1741-2633	SAGE_PUBLICATIONS_LTD	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Psychology,Experimental"	"SocialSciences,Interdisciplinary"	NA	NA	NA	NA	SSCI
ADDICTION	0965-2140	1360-0443	WILEY	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SubstanceAbuse	Psychiatry	NA	NA	NA	NA	SSCI
ADDICTION_RESEARCH_&_THEORY	1606-6359	1476-7392	TAYLOR_&_FRANCIS_LTD	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SubstanceAbuse	SocialIssues	NA	NA	NA	NA	SSCI
ADDICTION_SCIENCE_&_CLINICAL_PRACTICE	1940-0640	1940-0640	BMC	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SubstanceAbuse	NA	NA	NA	NA	NA	SSCI
ADDICTIVE_BEHAVIORS	0306-4603	1873-6327	PERGAMON-ELSEVIER_SCIENCE_LTD	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SubstanceAbuse	"Psychology,Clinical"	NA	NA	NA	NA	SSCI
ADICCIONES	0214-4840	2604-6334	SOCIDROGALCOHOL	Spanish	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SubstanceAbuse	NA	NA	NA	NA	NA	SSCI
ADMINISTRATION_AND_POLICY_IN_MENTAL_HEALTH_AND_MENTAL_HEALTH_SERVICES_RESEARCH	0894-587X	1573-3289	SPRINGER	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HealthPolicy&Services	"Public,Environmental&OccupationalHealth"	NA	NA	NA	NA	SSCI
ADMINISTRATION_&_SOCIETY	0095-3997	1552-3039	SAGE_PUBLICATIONS_INC	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PublicAdministration	NA	NA	NA	NA	NA	SSCI
ADMINISTRATIVE_SCIENCE_QUARTERLY	0001-8392	1930-3815	SAGE_PUBLICATIONS_INC	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Business	Management	NA	NA	NA	NA	SSCI
ADOLESCENT_RESEARCH_REVIEW	2363-8346	2363-8354	SPRINGER_INT_PUBL_AG	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Psychology,Development"	"SocialSciences,Interdisciplinary"	NA	NA	NA	NA	SSCI
ADULT_EDUCATION_QUARTERLY	0741-7136	1552-3047	SAGE_PUBLICATIONS_INC	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Education&EducationalResearch	NA	NA	NA	NA	NA	SSCI
ADVANCES_IN_COGNITIVE_PSYCHOLOGY	1895-1171	1895-1171	UNIV_ECONOMICS_&_HUMAN_SCIENCES_WARSAW	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Psychology,Experimental"	NA	NA	NA	NA	NA	SSCI
ADVANCES_IN_HEALTH_SCIENCES_EDUCATION	1382-4996	1573-1677	SPRINGER	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Education&EducationalResearch	NA	NA	NA	NA	NA	SSCI
ADVANCES_IN_LIFE_COURSE_RESEARCH	1569-4909	1879-6974	ELSEVIER_SCI_LTD	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"SocialSciences,Interdisciplinary"	NA	NA	NA	NA	NA	SSCI
ADVANCES_IN_METHODS_AND_PRACTICES_IN_PSYCHOLOGICAL_SCIENCE	2515-2459	2515-2467	SAGE_PUBLICATIONS_INC	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Psychology,Multidisciplinary"	NA	NA	NA	NA	NA	SSCI
ADVANCES_IN_NEONATAL_CARE	1536-0903	1536-0911	LIPPINCOTT_WILLIAMS_&_WILKINS	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Nursing	NA	NA	NA	NA	NA	SSCI
ADVANCES_IN_NURSING_SCIENCE	0161-9268	1550-5014	LIPPINCOTT_WILLIAMS_&_WILKINS	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Nursing	NA	NA	NA	NA	NA	SSCI
ADVANCES_IN_SKIN_&_WOUND_CARE	1527-7941	1538-8654	LIPPINCOTT_WILLIAMS_&_WILKINS	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Nursing	NA	NA	NA	NA	NA	SSCI
AERA_OPEN	NA	2332-8584	SAGE_PUBLICATIONS_INC	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Education&EducationalResearch	NA	NA	NA	NA	NA	SSCI
AFFILIA-FEMINIST_INQUIRY_IN_SOCIAL_WORK	0886-1099	1552-3020	SAGE_PUBLICATIONS_INC	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SocialWork	Women'SStudies	NA	NA	NA	NA	SSCI
AFRICA	0001-9720	1750-0184	CAMBRIDGE_UNIV_PRESS	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Anthropology	AreaStudies	NA	NA	NA	NA	SSCI
AFRICAN_AFFAIRS	0001-9909	1468-2621	OXFORD_UNIV_PRESS	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AreaStudies	PoliticalScience	NA	NA	NA	NA	SSCI
AFRICANA_LINGUISTICA	2033-8732	2034-8436	PEETERS	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Linguistics	NA	NA	NA	NA	NA	SSCI
AFRICAN_AND_ASIAN_STUDIES	1569-2094	1569-2108	BRILL	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AreaStudies	NA	NA	NA	NA	NA	SSCI
AFRICAN_ARCHAEOLOGICAL_REVIEW	0263-0338	1572-9842	SPRINGER	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Anthropology	NA	NA	NA	NA	NA	SSCI
AFRICAN_DEVELOPMENT_REVIEW-REVUE_AFRICAINE_DE_DEVELOPPEMENT	1017-6772	1467-8268	WILEY	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DevelopmentStudies	NA	NA	NA	NA	NA	SSCI
AFRICAN_JOURNALISM_STUDIES	2374-3670	2374-3689	"ROUTLEDGE_JOURNALS,_TAYLOR_&_FRANCIS_LTD"	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Communication	NA	NA	NA	NA	NA	SSCI
AFRICAN_JOURNAL_OF_LIBRARY_ARCHIVES_AND_INFORMATION_SCIENCE	0795-4778	0795-4778	ARCHLIB_&_INFORMATION_SERVICES_LTD	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	InformationScience&LibraryScience	NA	NA	NA	NA	NA	SSCI
AFRICAN_JOURNAL_OF_REPRODUCTIVE_HEALTH	1118-4841	2141-3606	WOMENS_HEALTH_&_ACTION_RESEARCH_CENTRE	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Public,Environmental&OccupationalHealth"	NA	NA	NA	NA	NA	SSCI
AFRICAN_STUDIES	0002-0184	1469-2872	"ROUTLEDGE_JOURNALS,_TAYLOR_&_FRANCIS_LTD"	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AreaStudies	NA	NA	NA	NA	NA	SSCI
AFRICAN_STUDIES_REVIEW	0002-0206	1555-2462	CAMBRIDGE_UNIV_PRESS	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AreaStudies	NA	NA	NA	NA	NA	SSCI
AFRICA_SPECTRUM	0002-0397	1868-6869	SAGE_PUBLICATIONS_INC	German	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AreaStudies	NA	NA	NA	NA	NA	SSCI
AGEING_&_SOCIETY	0144-686X	1469-1779	CAMBRIDGE_UNIV_PRESS	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gerontology	NA	NA	NA	NA	NA	SSCI
AGGRESSION_AND_VIOLENT_BEHAVIOR	1359-1789	1873-6335	PERGAMON-ELSEVIER_SCIENCE_LTD	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Criminology&Penology	"Psychology,Multidisciplinary"	NA	NA	NA	NA	SSCI
AGGRESSIVE_BEHAVIOR	0096-140X	1098-2337	WILEY	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Psychology,Multidisciplinary"	NA	NA	NA	NA	NA	SSCI
AGING_&_MENTAL_HEALTH	1360-7863	1364-6915	"ROUTLEDGE_JOURNALS,_TAYLOR_&_FRANCIS_LTD"	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Psychiatry	Gerontology	NA	NA	NA	NA	SSCI
AGING_NEUROPSYCHOLOGY_AND_COGNITION	1382-5585	1744-4128	"ROUTLEDGE_JOURNALS,_TAYLOR_&_FRANCIS_LTD"	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Psychology,Development"	"Psychology,Experimental"	NA	NA	NA	NA	SSCI
AGRIBUSINESS	0742-4477	1520-6297	WILEY	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Economics	NA	NA	NA	NA	NA	SSCI
AGRICULTURAL_AND_FOOD_ECONOMICS	NA	2193-7532	SPRINGERNATURE	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Economics	NA	NA	NA	NA	NA	SSCI
AGRICULTURAL_ECONOMICS	0169-5150	1574-0862	WILEY	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Economics	NA	NA	NA	NA	NA	SSCI
AGRICULTURAL_ECONOMICS-ZEMEDELSKA_EKONOMIKA	0139-570X	1805-9295	CZECH_ACADEMY_AGRICULTURAL_SCIENCES	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Economics	NA	NA	NA	NA	NA	SSCI
AGRICULTURAL_HISTORY	0002-1482	1533-8290	DUKE_UNIV_PRESS	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	History	History&PhilosophyOfScience	NA	NA	NA	NA	SSCI
AGRICULTURE_AND_HUMAN_VALUES	0889-048X	1572-8366	SPRINGER	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	History&PhilosophyOfScience	Sociology	NA	NA	NA	NA	SSCI
AIBR-REVISTA_DE_ANTROPOLOGIA_IBEROAMERICANA	1695-9752	1578-9705	ASOC_ANTROPOLOGOS_IBEROAMERICANOS__EN_RED	Spanish	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Anthropology	NA	NA	NA	NA	NA	SSCI
AIDS_AND_BEHAVIOR	1090-7165	1573-3254	SPRINGER/PLENUM_PUBLISHERS	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Public,Environmental&OccupationalHealth"	"SocialSciences,Biomedical"	NA	NA	NA	NA	SSCI
AIDS_CARE-PSYCHOLOGICAL_AND_SOCIO-MEDICAL_ASPECTS_OF_AIDS/HIV	0954-0121	1360-0451	"ROUTLEDGE_JOURNALS,_TAYLOR_&_FRANCIS_LTD"	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HealthPolicy&Services	"Public,Environmental&OccupationalHealth"	"Psychology,Multidisciplinary"	"SocialSciences,Biomedical"	NA	NA	SSCI
AIDS_EDUCATION_AND_PREVENTION	0899-9546	1943-2755	GUILFORD_PUBLICATIONS_INC	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Education&EducationalResearch	"Public,Environmental&OccupationalHealth"	NA	NA	NA	NA	SSCI
AIDS_PATIENT_CARE_AND_STDS	1087-2914	1557-7449	"MARY_ANN_LIEBERT,_INC"	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Public,Environmental&OccupationalHealth"	NA	NA	NA	NA	NA	SSCI
AJAR-AFRICAN_JOURNAL_OF_AIDS_RESEARCH	1608-5906	1727-9445	TAYLOR_&_FRANCIS_LTD	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Public,Environmental&OccupationalHealth"	NA	NA	NA	NA	NA	SSCI
AJIDD-AMERICAN_JOURNAL_ON_INTELLECTUAL_AND_DEVELOPMENTAL_DISABILITIES	1944-7515	1944-7558	AMER_ASSOC_INTELLECTUAL_AND_DEVELOPMENTAL_DISABILITIES-AAIDD	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Education,Special"	Rehabilitation	NA	NA	NA	NA	SSCI
ALCOHOL_AND_ALCOHOLISM	0735-0414	1464-3502	OXFORD_UNIV_PRESS	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SubstanceAbuse	NA	NA	NA	NA	NA	SSCI
ALCOHOL_RESEARCH-CURRENT_REVIEWS	1535-7414	1930-0573	NATL_INST_ALCOHOL_ABUSE__ALCOHOLISM	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SubstanceAbuse	NA	NA	NA	NA	NA	SSCI
ALTERNATIVES	0304-3754	2163-3150	SAGE_PUBLICATIONS_INC	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	InternationalRelations	NA	NA	NA	NA	NA	SSCI
AMERICAN_ANNALS_OF_THE_DEAF	0002-726X	1543-0375	GALLAUDET_UNIV_PRESS	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Education,Special"	Rehabilitation	NA	NA	NA	NA	SSCI
AMERICAN_ANTHROPOLOGIST	0002-7294	1548-1433	WILEY	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Anthropology	NA	NA	NA	NA	NA	SSCI
AMERICAN_ANTIQUITY	0002-7316	2325-5064	CAMBRIDGE_UNIV_PRESS	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Anthropology	NA	NA	NA	NA	NA	SSCI
AMERICAN_BANKRUPTCY_LAW_JOURNAL	0027-9048	NA	NATL_CONF_BANKRUPT_J	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Law	NA	NA	NA	NA	NA	SSCI
AMERICAN_BEHAVIORAL_SCIENTIST	0002-7642	1552-3381	SAGE_PUBLICATIONS_INC	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Psychology,Clinical"	"SocialSciences,Interdisciplinary"	NA	NA	NA	NA	SSCI
AMERICAN_BUSINESS_LAW_JOURNAL	0002-7766	1744-1714	WILEY	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Business	Law	NA	NA	NA	NA	SSCI
AMERICAN_CRIMINAL_LAW_REVIEW	0164-0364	0164-0364	AMER_CRIMINAL_LAW_REVIEW	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Law	NA	NA	NA	NA	NA	SSCI
AMERICAN_ECONOMIC_JOURNAL-APPLIED_ECONOMICS	1945-7782	1945-7790	AMER_ECONOMIC_ASSOC	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Economics	NA	NA	NA	NA	NA	SSCI
AMERICAN_ECONOMIC_JOURNAL-ECONOMIC_POLICY	1945-7731	1945-774X	AMER_ECONOMIC_ASSOC	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Economics	NA	NA	NA	NA	NA	SSCI
AMERICAN_ECONOMIC_JOURNAL-MACROECONOMICS	1945-7707	1945-7715	AMER_ECONOMIC_ASSOC	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Economics	NA	NA	NA	NA	NA	SSCI
AMERICAN_ECONOMIC_JOURNAL-MICROECONOMICS	1945-7669	1945-7685	AMER_ECONOMIC_ASSOC	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Economics	NA	NA	NA	NA	NA	SSCI
AMERICAN_ECONOMIC_REVIEW	0002-8282	1944-7981	AMER_ECONOMIC_ASSOC	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Economics	NA	NA	NA	NA	NA	SSCI
AMERICAN_ECONOMIC_REVIEW-INSIGHTS	2640-205X	2640-2068	AMER_ECONOMIC_ASSOC	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Economics	NA	NA	NA	NA	NA	SSCI
AMERICAN_EDUCATIONAL_RESEARCH_JOURNAL	0002-8312	1935-1011	SAGE_PUBLICATIONS_INC	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Education&EducationalResearch	NA	NA	NA	NA	NA	SSCI
AMERICAN_ETHNOLOGIST	0094-0496	1548-1425	WILEY	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Anthropology	NA	NA	NA	NA	NA	SSCI
AMERICAN_HEALTH_AND_DRUG_BENEFITS	1942-2962	1942-2970	ENGAGE_HEALTHCARE_COMMUNICATIONS_INC	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HealthPolicy&Services	NA	NA	NA	NA	NA	SSCI
AMERICAN_HISTORICAL_REVIEW	0002-8762	1937-5239	OXFORD_UNIV_PRESS	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	History	NA	NA	NA	NA	NA	SSCI
AMERICAN_INDIAN_AND_ALASKA_NATIVE_MENTAL_HEALTH_RESEARCH	1533-7731	1533-7731	UNIV_PRESS_COLORADO	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Psychology,Clinical"	NA	NA	NA	NA	NA	SSCI
AMERICAN_JOURNAL_OF_AGRICULTURAL_ECONOMICS	0002-9092	1467-8276	WILEY	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Economics	NA	NA	NA	NA	NA	SSCI
AMERICAN_JOURNAL_OF_BIOETHICS	1526-5161	1536-0075	"ROUTLEDGE_JOURNALS,_TAYLOR_&_FRANCIS_LTD"	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ethics	SocialIssues	"SocialSciences,Biomedical"	NA	NA	NA	SSCI
AMERICAN_JOURNAL_OF_BIOLOGICAL_ANTHROPOLOGY	2692-7691	2692-7691	WILEY	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Anthropology	NA	NA	NA	NA	NA	SSCI
AMERICAN_JOURNAL_OF_CLINICAL_HYPNOSIS	0002-9157	2160-0562	"ROUTLEDGE_JOURNALS,_TAYLOR_&_FRANCIS_LTD"	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Psychology,Clinical"	NA	NA	NA	NA	NA	SSCI
AMERICAN_JOURNAL_OF_COMMUNITY_PSYCHOLOGY	0091-0562	1573-2770	WILEY	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Public,Environmental&OccupationalHealth"	"Psychology,Multidisciplinary"	SocialWork	NA	NA	NA	SSCI
AMERICAN_JOURNAL_OF_COMPARATIVE_LAW	0002-919X	2326-9197	OXFORD_UNIV_PRESS_INC	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Law	NA	NA	NA	NA	NA	SSCI
AMERICAN_JOURNAL_OF_CRIMINAL_JUSTICE	1066-2316	1936-1351	SPRINGER	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Criminology&Penology	NA	NA	NA	NA	NA	SSCI
AMERICAN_JOURNAL_OF_CULTURAL_SOCIOLOGY	2049-7113	2049-7121	PALGRAVE_MACMILLAN_LTD	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sociology	NA	NA	NA	NA	NA	SSCI
AMERICAN_JOURNAL_OF_DRUG_AND_ALCOHOL_ABUSE	0095-2990	1097-9891	TAYLOR_&_FRANCIS_INC	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SubstanceAbuse	"Psychology,Clinical"	NA	NA	NA	NA	SSCI
AMERICAN_JOURNAL_OF_ECONOMICS_AND_SOCIOLOGY	0002-9246	1536-7150	WILEY	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Economics	Sociology	NA	NA	NA	NA	SSCI
AMERICAN_JOURNAL_OF_EDUCATION	0195-6744	1549-6511	UNIV_CHICAGO_PRESS	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Education&EducationalResearch	NA	NA	NA	NA	NA	SSCI
AMERICAN_JOURNAL_OF_EVALUATION	1098-2140	1557-0878	SAGE_PUBLICATIONS_INC	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"SocialSciences,Interdisciplinary"	NA	NA	NA	NA	NA	SSCI
