journal	ISSN	eISSN	publisher	language_1	language_2	language_3	language_4	language_5	language_6	language_7	language_8	language_9	language_10	language_11	language_12	category_1	category_2	category_3	category_4	category_5	category_6	Index
REVISTA_TECNOLOGIA_E_SOCIEDADE	1809-0044	1984-3526	UNIV_TECNOLOGICA_FED_PARANA-UTFPR	Portuguese	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"SocialSciences,Interdisciplinary"	NA	NA	NA	NA	NA	ESCI
REVISTA_TEFROS	1669-726X	1667-9229	"UNIV_NACL_RIO_CUARTO,_TALLER_ETNOHISTORIA_FRONTERA_SUR"	Spanish	Portuguese	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	History	NA	NA	NA	NA	NA	ESCI
REVISTA_UNISCI	NA	2386-9453	"UNIV_COMPLUTENSE_MADRID,_SERVICIO_PUBLICACIONES"	English	Spanish	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	InternationalRelations	NA	NA	NA	NA	NA	ESCI
REVISTA_UNIVAP	1517-3275	2237-1753	UNIV_VALE_PARAIBA-UNIVAP	Portuguese	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	MultidisciplinarySciences	NA	NA	NA	NA	NA	ESCI
REVISTA_UNIVERSIDAD_EMPRESA	0124-4639	2145-4558	"UNIV_ROSARIO,_EDITORIAL"	English	Spanish	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Business	NA	NA	NA	NA	NA	ESCI
REVISTA_UNIVERSIDAD_Y_SOCIEDAD	2218-3620	2218-3620	UNIV_CIENFUEGOS	Spanish	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"SocialSciences,Interdisciplinary"	NA	NA	NA	NA	NA	ESCI
REVISTA_UNIVERSITARIA_DE_HISTORIA_MILITAR	2254-6111	2254-6111	REVISTA_UNIV_HISTORIA_MILITAR	Spanish	English	Portuguese	NA	NA	NA	NA	NA	NA	NA	NA	NA	History	NA	NA	NA	NA	NA	ESCI
REVISTA_URUGUAYA_DE_HISTORIA_ECONOMICA	1688-8561	1688-8561	ASOC_URUGUAYA_HISTORIA_ECONOMICA	Spanish	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Economics	NA	NA	NA	NA	NA	ESCI
REVISTA_VIRTUAL_DE_ESTUDOS_DA_LINGUAGEM-REVEL	1678-8931	1678-8931	REVISTA_VIRTUAL_ESTUDOS_LINGUAGEM	Multi-Language	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Language&Linguistics	NA	NA	NA	NA	NA	ESCI
REVISTA_VIRTUAL_DE_QUIMICA	1984-6835	1984-6835	SOC_BRASILEIRA_QUIMICA	English	Portuguese	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Chemistry,Multidisciplinary"	NA	NA	NA	NA	NA	ESCI
REVISTA_VIRTUAL_UNIVERSIDAD_CATOLICA_DEL_NORTE	0124-5821	2389-7333	FUNDACION_UNIV_CATOLICA_NORTE	Spanish	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"SocialSciences,Interdisciplinary"	NA	NA	NA	NA	NA	ESCI
REVISTA_VORTEX-VORTEX_MUSIC_JOURNAL	2317-9937	2317-9937	"UNIV_ESTADUAL_PARANA,_ESCOLA_MUSICA_&_BELAS_ARTES_PARANA"	English	Portuguese	Spanish	NA	NA	NA	NA	NA	NA	NA	NA	NA	Music	NA	NA	NA	NA	NA	ESCI
REVMAR-REVISTA_CIENCIAS_MARINAS_Y_COSTERAS	1659-407X	1659-407X	"UNIV_NACL,_FAC_CIENCIAS_EXACTAS_&_NATURALES"	Spanish	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Marine&FreshwaterBiology	NA	NA	NA	NA	NA	ESCI
REV_RENE	1517-3852	2175-6783	"UNIV_FEDERAL_CEARA,_DEPT_ENFERMAGEM"	English	Portuguese	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Nursing	NA	NA	NA	NA	NA	ESCI
REVUE_ARCHEOLOGIQUE_DU_CENTRE_DE_LA_FRANCE	1951-6207	1951-6207	FED_EDITION_REVUE_ARCHEOLOGIQUE_CENTRE_FRANCE	French	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Archaeology	NA	NA	NA	NA	NA	ESCI
REVUE_CIRKEVNIHO_PRAVA-CHURCH_LAW_REVIEW	1211-1635	2336-5609	SPOLECNOST_CIRKEVNI_PRAVO	Multi-Language	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Religion	NA	NA	NA	NA	NA	ESCI
REVUE_D_ANTHROPOLOGIE_DES_CONNAISSANCES	1760-5393	1760-5393	SOC_ANTHROPOLOGIE_CONNAISSANCES	French	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"SocialSciences,Interdisciplinary"	NA	NA	NA	NA	NA	ESCI
REVUE_D_ECONOMIE_REGIONALE_ET_URBAINE	0180-7307	2107-0865	ARMAND_COLIN	French	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Economics	NA	NA	NA	NA	NA	ESCI
REVUE_DE_L_IRES	1145-1378	1145-1378	INST_RECHERCHES_ECONOMIQUES_&_SOCIALES-IRES	French	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IndustrialRelations&Labor	NA	NA	NA	NA	NA	ESCI
REVUE_DE_MICROPALEONTOLOGIE	0035-1598	NA	ELSEVIER_FRANCE-EDITIONS_SCIENTIFIQUES_MEDICALES_ELSEVIER	French	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Paleontology	NA	NA	NA	NA	NA	ESCI
REVUE_DES_COMPOSITES_ET_DES_MATERIAUX_AVANCES-JOURNAL_OF_COMPOSITE_AND_ADVANCED_MATERIALS	1169-7954	1958-5799	INT_INFORMATION_&_ENGINEERING_TECHNOLOGY_ASSOC	Multi-Language	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"MaterialsScience,Composites"	NA	NA	NA	NA	NA	ESCI
REVUE_DES_MONDES_MUSULMANS_ET_DE_LA_MEDITERRANEE	0997-1327	2105-2271	UNIV_PROVENCE	English	French	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AreaStudies	NA	NA	NA	NA	NA	ESCI
REVUE_DES_SCIENCES_DE_L_EDUCATION	0318-479X	1705-0065	ASSOC_CANADIENNE-FRANCAISE_AVANCEMENT_SCIENCES	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Education&EducationalResearch	NA	NA	NA	NA	NA	ESCI
REVUE_D_ETUDES_TIBETAINES	1768-2959	1768-2959	CENTRE_RECHERCHE_CIVILIZATIONS_ASIE_ORIENTALE-UMR8155	Multi-Language	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AsianStudies	NA	NA	NA	NA	NA	ESCI
REVUE_D_HISTOIRE_DES_SCIENCES	0151-4105	1969-6582	ARMAND_COLIN	French	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	History&PhilosophyOfScience	NA	NA	NA	NA	NA	ESCI
REVUE_ECONOMIQUE	0035-2764	1950-6694	PRESSES_FOND_NAT_SCI_POLIT	French	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Economics	NA	NA	NA	NA	NA	ESCI
REVUE_EUROPEENNE_DES_SCIENCES_SOCIALES	0048-8046	1663-4446	LIBRAIRIE_DROZ_SA	French	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"SocialSciences,Interdisciplinary"	NA	NA	NA	NA	NA	ESCI
REVUE_GENERAL_DE_DROIT	0035-3086	0035-3086	"UNIV_OTTAWA,_FAC_LAW"	Multi-Language	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Law	NA	NA	NA	NA	NA	ESCI
REVUE_INTERNATIONALE_DE_GEOMATIQUE	1260-5875	2116-7060	TECH_SCIENCE_PRESS	Multi-Language	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RemoteSensing	NA	NA	NA	NA	NA	ESCI
REVUE_INTERNATIONALE_PME	0776-5436	0776-5436	EDITIONS_E_M_S	Multi-Language	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Business	NA	NA	NA	NA	NA	ESCI
REVUE_INTERVENTIONS_ECONOMIQUES-PAPERS_IN_POLITICAL_ECONOMY	0715-3570	1710-7377	REVUES_ORG	English	French	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Economics	NA	NA	NA	NA	NA	ESCI
REVUE_ITALIENNE_D'ETUDES_FRANCAISES	2240-7456	2240-7456	SEMINARIO_FILOLOGIA_FRANCESE	French	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Literature,Romance"	NA	NA	NA	NA	NA	ESCI
REVUE_LISA-LISA_E-JOURNAL	1762-6153	1762-6153	"UNIV_CAEN,_MAISON_RECHERCHE_&_SCIENCES_HUMAINES"	English	French	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Humanities,Multidisciplinary"	NA	NA	NA	NA	NA	ESCI
REVUE_ROUMAINE_DE_MATHEMATIQUES_PURES_ET_APPLIQUEES	0035-3965	2343-774X	EDITURA_ACAD_ROMANE	Multi-Language	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Mathematics	NA	NA	NA	NA	NA	ESCI
RHETORIC_&_PUBLIC_AFFAIRS	1094-8392	1534-5238	MICHIGAN_STATE_UNIV_PRESS	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Communication	NA	NA	NA	NA	NA	ESCI
RHEUMATOLOGY_ADVANCES_IN_PRACTICE	NA	2514-1775	OXFORD_UNIV_PRESS	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rheumatology	NA	NA	NA	NA	NA	ESCI
RHEUMATOLOGY_&_AUTOIMMUNITY	2767-1410	2767-1429	WILEY	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rheumatology	Immunology	NA	NA	NA	NA	ESCI
RHIZOMATA-A_JOURNAL_FOR_ANCIENT_PHILOSOPHY_AND_SCIENCE	2196-5102	2196-5110	WALTER_DE_GRUYTER_GMBH	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Philosophy	NA	NA	NA	NA	NA	ESCI
RHYTHMICA-REVISTA_ESPANOLA_DE_METRICA_COMPARADA	1696-5744	1696-5744	UNIV_NACL_EDUCACION_&_DISTANCIA-UNED	Spanish	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Literature,Romance"	NA	NA	NA	NA	NA	ESCI
RIBAGUA-REVISTA_IBEROAMERICANA_DEL_AGUA	2386-3781	2529-8968	TAYLOR_&_FRANCIS_LTD	English	Portuguese	Spanish	NA	NA	NA	NA	NA	NA	NA	NA	NA	WaterResources	NA	NA	NA	NA	NA	ESCI
RICERCHE_DI_PSICOLOGIA	0391-6081	1972-5620	FRANCO_ANGELI	Italian	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Psychology	NA	NA	NA	NA	NA	ESCI
RICERCHE_DI_S-CONFINE	2038-8411	2038-8411	"UNIV_STUDI_PARMA,_DIPT_BENI_CULTURALI_&_SPETTACOLO"	English	Italian	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Humanities,Multidisciplinary"	NA	NA	NA	NA	NA	ESCI
RICERCHE_DI_STORIA_POLITICA	1120-9526	1120-9526	SOC_ED_IL_MULINO	Italian	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	History	NA	NA	NA	NA	NA	ESCI
RICYDE-REVISTA_INTERNACIONAL_DE_CIENCIAS_DEL_DEPORTE	1885-3137	1885-3137	"RAMON_CANTO_ALCARAZ,_URBANIZACION_PUERTO_&_PLAYA"	Spanish	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SportSciences	NA	NA	NA	NA	NA	ESCI
RIE-REVISTA_DE_INVESTIGACION_EDUCATIVA	0212-4068	1989-9106	UNIV_MURCIA	Spanish	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Education&EducationalResearch	NA	NA	NA	NA	NA	ESCI
RISET_GEOLOGI_DAN_PERTAMBANGAN	0125-9849	2354-6638	"INDONESIAN_INST_SCIENCES,_R&D_CENTRE_BIOLOGY"	Indonesian	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Geosciences,Multidisciplinary"	NA	NA	NA	NA	NA	ESCI
RISK_HAZARDS_&_CRISIS_IN_PUBLIC_POLICY	1944-4079	1944-4079	WILEY	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PublicAdministration	NA	NA	NA	NA	NA	ESCI
RISK_MANAGEMENT_AND_INSURANCE_REVIEW	1098-1616	1540-6296	WILEY	Multi-Language	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Business,Finance"	Economics	NA	NA	NA	NA	ESCI
RISKS	NA	2227-9091	MDPI	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Business,Finance"	NA	NA	NA	NA	NA	ESCI
RISUS-JOURNAL_ON_INNOVATION_AND_SUSTAINABILITY	2179-3565	2179-3565	PONTIFICIA_UNIV_CATOLICA_SAO_PAULO-PUC-SP	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Management	NA	NA	NA	NA	NA	ESCI
RITA-REVISTA_INDEXADA_DE_TEXTOS_ACADEMICOS	2340-9711	2386-7027	CANCHA_EDITORIAL_SPA	Spanish	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Architecture	NA	NA	NA	NA	NA	ESCI
RIVAR-REVISTA_IBEROAMERICANA_DE_VITICULTURA_AGROINDUSTRIA_Y_RURALIDAD	0719-4994	0719-4994	UNIV_SANTIAGO_DE_CHILE	Spanish	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	History	NA	NA	NA	NA	NA	ESCI
RIVISTA_D_ARTE	1122-0732	2240-5550	CASA_EDITRICE_LEO_S_OLSCHKI	Italian	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Art	NA	NA	NA	NA	NA	ESCI
RIVISTA_DI_FILOSOFIA	0035-6239	0035-6239	SOC_ED_IL_MULINO	Italian	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Philosophy	NA	NA	NA	NA	NA	ESCI
RIVISTA_DI_FILOSOFIA_DEL_DIRITTO-JOURNAL_OF_LEGAL_PHILOSOPHY	2280-482X	2280-482X	SOC_ED_IL_MULINO	Multi-Language	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Philosophy	NA	NA	NA	NA	NA	ESCI
RIVISTA_DI_LETTERATURA_ITALIANA	0392-825X	1724-0638	FABRIZIO_SERRA_EDITORE	Italian	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Literature,Romance"	NA	NA	NA	NA	NA	ESCI
RIVISTA_DI_LETTERATURA_STORIOGRAFICA_ITALIANA	2532-9626	2611-2787	FABRIZIO_SERRA_EDITORE	Multi-Language	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	History	"Literature,Romance"	NA	NA	NA	NA	ESCI
RIVISTA_DI_MATEMATICA_DELLA_UNIVERSITA_DI_PARMA	0035-6298	2284-2578	UNIV_STUDI_PARMA	Multi-Language	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Mathematics	NA	NA	NA	NA	NA	ESCI
RIVISTA_DI_PSICOLINGUISTICA_APPLICATA-JOURNAL_OF_APPLIED_PSYCHOLINGUISTICS	1592-1328	1724-0646	FABRIZIO_SERRA_EDITORE	Multi-Language	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Linguistics	NA	NA	NA	NA	NA	ESCI
RIVISTA_DI_PSICOLOGIA_DELL_EMERGENZA_E_DELL_ASSISTENZA_UMANITARIA	2280-9120	2280-9120	FEDERAZIONE_PSICOLOGI_&_POPOLI	Italian	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Psychology,Clinical"	NA	NA	NA	NA	NA	ESCI
RIVISTA_INTERNAZIONALE_DI_FILOSOFIA_E_PSICOLOGIA	2039-4667	2239-2629	MIMESIS_EDIZIONI	English	German	Italian	NA	NA	NA	NA	NA	NA	NA	NA	NA	Philosophy	"Psychology,Multidisciplinary"	NA	NA	NA	NA	ESCI
RIVISTA_ITALIANA_DI_FILOSOFIA_DEL_LINGUAGGIO	2036-6728	2036-6728	UNIV_STUDI_CALABRIA	Multi-Language	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Language&Linguistics	NA	NA	NA	NA	NA	ESCI
RIVISTA_PASCOLIANA	1120-8856	1120-8856	PATRON_EDITORE_S_R_L	Italian	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Literature,Romance"	NA	NA	NA	NA	NA	ESCI
RI_VISTA-RICERCHE_PER_LA_PROGETTAZIONE_DEL_PAESAGGIO	1724-6768	1724-6768	FIRENZE_UNIV_PRESS	Italian	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Architecture	NA	NA	NA	NA	NA	ESCI
RMS-RESEARCH_IN_MATHEMATICS_&_STATISTICS	NA	2765-8449	TAYLOR_&_FRANCIS_LTD	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Mathematics	Statistics&Probability	NA	NA	NA	NA	ESCI
ROADS_AND_BRIDGES-DROGI_I_MOSTY	1643-1618	2449-769X	ROAD_&_BRIDGE_RES_INST-INST_BADAWCZY_DROG_&_MOSTOW	Multi-Language	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Construction&BuildingTechnology	NA	NA	NA	NA	NA	ESCI
ROBOMECH_JOURNAL	2197-4225	2197-4225	SPRINGERNATURE	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Instruments&Instrumentation	Robotics	NA	NA	NA	NA	ESCI
ROBOTICS	NA	2218-6581	MDPI	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Robotics	NA	NA	NA	NA	NA	ESCI
ROCK_AND_SOIL_MECHANICS	1000-7598	1000-7598	SCIENCE_PRESS	Chinese	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Engineering,Geological"	NA	NA	NA	NA	NA	ESCI
ROCZNIKI_HUMANISTYCZNE	0035-7707	2544-5200	JOHN_PAUL_II_CATHOLIC_UNIV_LUBLIN	Multi-Language	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Humanities,Multidisciplinary"	NA	NA	NA	NA	NA	ESCI
ROEPER_REVIEW-A_JOURNAL_ON_GIFTED_EDUCATION	0278-3193	1940-865X	"ROUTLEDGE_JOURNALS,_TAYLOR_&_FRANCIS_LTD"	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Education,Special"	NA	NA	NA	NA	NA	ESCI
ROMANIAN_ASTRONOMICAL_JOURNAL	1220-5168	2285-3758	EDITURA_ACAD_ROMANE	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Astronomy&Astrophysics	NA	NA	NA	NA	NA	ESCI
ROMANIAN_JOURNAL_OF_ACOUSTICS_AND_VIBRATION	1584-7284	1584-7284	ROMANIAN_SOC_ACOUSTICS	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Acoustics	NA	NA	NA	NA	NA	ESCI
ROMANIAN_JOURNAL_OF_COMMUNICATION_AND_PUBLIC_RELATIONS	1454-8100	2344-5440	"SCOALA_NATL_STUDII_POLITICE_ADM_-_SNSPA,_FAC_COMINICARE_REALTI_PUBLICE"	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Communication	NA	NA	NA	NA	NA	ESCI
ROMANIAN_JOURNAL_OF_EUROPEAN_AFFAIRS	1582-8271	1841-4273	EUROPEAN_INST_ROMANIA	English	French	Romanian	NA	NA	NA	NA	NA	NA	NA	NA	NA	InternationalRelations	NA	NA	NA	NA	NA	ESCI
ROMANIAN_JOURNAL_OF_INFORMATION_TECHNOLOGY_AND_AUTOMATIC_CONTROL-REVISTA_ROMANA_DE_INFORMATICA_SI_AUTOMATICA	1220-1758	1841-4303	INST_NATL_CERCETARE-DEZVOLTARE_INFORMATICA-ICI	Rumanian	English	Romanian	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ComputerScience,InterdisciplinaryApplications"	NA	NA	NA	NA	NA	ESCI
